484,105
485,11
486,143
487,9
488,16X
489,28
48X,10994
48E,5
490,3X
491,25
492,172
493,29
494,89
495,4
496,NA
497,117
498,8
499,59
49X,1E3
49E,5
4X0,200
4X1,149
4X2,174
4X3,6
4X4,12527X
4X5,11
4X6,63
4X7,19
4X8,4
4X9,110X9
4XX,212
4XE,5
4E0,E5X5
4E1,9
4E2,68
4E3,129
4E4,135
4E5,8
4E6,10
4E7,259
4E8,17X
4E9,221
4EX,67
4EE,4
500,88
501,215
502,182
503,43
504,4E
505,X
506,NA
507,11
508,NA
509,35
50X,123
50E,5
510,42X9E
511,49
512,4
513,39
514,E1
515,34
516,7E4X
517,9
518,12
519,25
51X,10576
51E,5
520,20E
521,121
522,27
523,19
524,8X
525,4
526,10536
527,67
528,85
529,X9
52X,211
52E,5
530,NA
531,445
532,X
533,9
534,EE004
535,15
536,8
537,279
538,4
539,X79
53X,177
53E,5
540,2805E
541,6
542,194
543,281
544,121
545,11
546,51
547,141
548,8
549,1975
54X,1EX
54E,4
550,1E9
551,29
552,24
553,11
554,110
555,41
556,19649
557,81
558,12
559,9
55X,169
55E,5
560,265
561,1X09
562,4
563,111
564,6321X
565,8
566,243
567,9
568,74
569,7515
56X,264
56E,5
570,6
571,21
572,1X4
573,149
574,1067
575,4
576,18797
577,11
578,11
579,39
57X,118
57E,5
580,247
581,81
582,8
583,9
584,107417
585,11
586,765X9
587,21
588,4
589,49
58X,244XE7
58E,5
590,100
591,9
592,1E2
593,21
594,42
595,E8
596,11X
597,19
598,28
599,59
59X,88480
59E,4
5X0,40E68
5X1,454
5X2,1E4
5X3,E1
5X4,12
5X5,11
5X6,2X
5X7,89
5X8,1E8
5X9,14
5XX,269
5XE,5
5E0,4E29
5E1,25
5E2,4
5E3,159
5E4,100X
5E5,X
5E6,11E05
5E7,9
5E8,8
5E9,EE9
5EX,484
5EE,5
600,126
601,8029
602,14
603,11
604,66
605,4
606,56
607,161
608,82
609,95
60X,6
60E,5
610,NA
611,311
612,204
613,9
614,474
615,8
616,1299X
617,21
618,4
619,1039
61X,24294
61E,5
620,59
621,35
622,X
623,311
624,139
625,11
626,1E8
627,11
628,12
629,1941
62X,26
62E,4
630,44
631,10
632,8
633,169
634,261
635,15
636,NA
637,67
638,25
639,6
63X,NA
63E,5
640,237
641,441
642,4
643,321
644,E0
645,11
646,6XE6
647,9
648,87
649,2175
64X,23
64E,5
650,30
651,10X5
652,88
653,49
654,11X7
655,4
656,18
657,19
658,21X
659,10E9
65X,14
65E,5
660,4X030
661,49
662,20E
663,9
664,207
665,11
666,152
667,4X
668,4
669,55
66X,NA
66E,5
670,164
671,9
672,224
673,11
674,67
675,15
676,279
677,339
678,X
679,49
67X,126
67E,4
680,NA
681,32
682,8X
683,341
684,142
685,8
686,NA
687,19
688,14
689,35
68X,61071
68E,5
690,1E3
691,59
692,4
693,X1
694,1E01
695,31
696,129
697,6
698,92
699,1179
69X,136X
69E,5
6X0,144
6X1,29
6X2,8
6X3,21
6X4,210
6X5,4
6X6,NA
6X7,51
6X8,124
6X9,8
6XX,293
6XE,5
6E0,25147
6E1,221
6E2,32
6E3,9
6E4,10
6E5,15
6E6,179
6E7,15
6E8,4
6E9,11E9
6EX,338
6EE,5
700,260X37
701,69
702,242
703,19
704,282XX
705,11
706,6
707,191
708,94
709,271
70X,220X
70E,4
710,NA
711,25
712,X
713,323
714,69
715,18
716,111
717,15
718,8
719,9
71X,881
71E,5
720,2X63
721,55
722,4
723,11
724,2E6
725,11
726,E23E
727,9
728,24X
729,49X9
72X,37
72E,5
730,19
731,285
732,252
733,199
734,1497
735,4
736,57X84
737,379
738,12
739,29
73X,2E1
73E,5
740,31X
741,229
742,11
743,9
744,91361
745,11
746,41616
747,11
748,4
749,34
74X,82
74E,5
750,391E0
751,9
752,8
753,E1
754,198
755,41
756,38
757,33
758,87
759,25
75X,188
75E,4
760,79
761,2609
762,18
763,157
764,6
765,11
766,2411E2
767,29
768,X
769,X9
76X,961
76E,5
770,2645
771,1325
772,4
773,1X9
774,2504X
775,12
776,1EX
777,9
778,268
779,25
77X,1877
77E,5
780,12
781,66
782,34
783,3X1
784,254
785,4
786,84
787,51
788,8
789,129
78X,168
78E,5
790,3EX01
791,21
792,85
793,6
794,4X
795,X
796,10872
797,43
798,4
799,1379
79X,1X
79E,5
7X0,8532X
7X1,35
7X2,12
7X3,3E1
7X4,370
7X5,8
7X6,16X
7X7,E9
7X8,278
7X9,5329
7XX,E3
7XE,4
7E0,116
7E1,1X1
7E2,1X
7E3,10
7E4,323
7E5,15
7E6,26E
7E7,11
7E8,4E
7E9,9
7EX,NA
7EE,5
800,2082
801,1684
802,4
803,29
804,76
805,11
806,39X
807,9
808,38
809,49
80X,80E1
80E,5
810,176
811,39
812,100
813,67
814,23E
815,4
816,NA
817,117
818,14
819,45
81X,3X
81E,5
820,228
821,7X
822,12
823,9
824,253X
825,11
826,23
827,61
828,4
829,XE95
82X,14E4
82E,5
830,100
831,6
832,292
833,209
834,67
835,15
836,33E
837,21
838,8
839,1479
83X,163
83E,4
840,NA
841,995
842,294
843,11
844,341
845,11
846,258
847,211
848,12
849,19
84X,126
84E,5
850,2069X
851,21
852,4
853,31
854,NA
855,8
856,114
857,9
858,X
859,21
85X,1598XE
85E,5
860,6
861,2031
862,2X2
863,43
864,599
865,4
866,8671
867,11
868,54
869,5869
86X,12
86E,5
870,NA
871,59
872,8
873,9
874,164
875,15
876,1E
877,31
878,4
879,25
87X,125
87E,5
880,12557
881,X9
882,E8
883,441
884,191
885,X
886,359
887,221
888,2XX
889,29
88X,1509X
88E,4
890,285
891,1565
892,61
893,65
894,19
895,41
896,263
897,323
898,3X
899,9
89X,187
89E,5
8X0,1X3
8X1,23
8X2,4
8X3,19
8X4,271
8X5,11
8X6,256656
8X7,9
8X8,8
8X9,7XE69
8XX,8XE1
8XE,5
8E0,194
8E1,311
8E2,X
8E3,11
