1,2,1
308,1947,4
309,194E,6
30X,1955,18
30E,1971,X
310,197E,2
311,1981,14
312,1995,22
313,19E7,4
314,19EE,2
315,1X01,10
316,1X11,6
317,1X17,4
318,1X1E,10
319,1X2E,6
31X,1X35,8
31E,1X41,4
320,1X45,8
321,1X51,1X
322,1X6E,2
323,1X71,4
324,1X75,2
325,1X77,10
326,1X87,24
327,1XXE,2
328,1XE1,6
329,1XE7,6
32X,1E01,6
32E,1E07,4
330,1E0E,6
331,1E15,2
332,1E17,10
333,1E27,4
334,1E2E,10
335,1E3E,2
336,1E41,X
337,1E4E,2
338,1E51,14
339,1E65,2
33X,1E67,14
33E,1E7E,6
340,1E85,18
341,1EX1,14
342,1EE5,8
343,2001,4
344,2005,2
345,2007,4
346,200E,2
347,2011,1X
348,202E,8
349,2037,10
34X,2047,6
34E,2051,X
350,205E,2
351,2061,4
352,2065,6
353,206E,2
354,2071,6
355,2077,X
356,2085,2
357,2087,10
358,2097,X
359,20X5,2
35X,20X7,X
35E,20E5,12
360,2107,6
361,2111,4
362,2115,6
363,211E,8
364,2127,6
365,2131,6
366,2137,14
367,214E,10
368,215E,2
369,2161,4
36X,2165,12
36E,2177,6
370,2181,4
371,2185,8
372,2191,X
373,219E,8
374,21X7,6
375,21E1,6
376,21E7,1X
377,2215,6
378,221E,2
379,2221,X
37X,222E,12
37E,2241,4
380,2245,6
381,224E,16
382,2265,2
383,2267,X
384,2275,12
385,2287,4
386,228E,2
387,2291,X
388,229E,12
389,22E1,4
38X,22E5,8
38E,2301,16
390,2317,4
391,231E,6
392,2325,2
393,2327,4
394,232E,6
395,2335,2
396,2337,10
397,2347,4
398,234E,18
399,2367,1X
39X,2385,10
39E,2395,2
3X0,2397,4
3X1,239E,6
3X2,23X5,6
3X3,23XE,2
3X4,23E1,6
3X5,23E7,1X
3X6,2415,2
3X7,2417,6
3X8,2421,14
3X9,2435,6
3XX,243E,10
3XE,244E,2
3E0,2451,6
3E1,2457,10
3E2,2467,14
3E3,247E,2
3E4,2481,4
3E5,2485,6
3E6,248E,12
3E7,24X1,4
3E8,24X5,2
3E9,24X7,16
3EX,2501,20
3EE,2521,X
400,252E,6
401,2535,2
402,2537,X
403,2545,2
404,2547,X
405,2555,2
406,2557,X
407,2565,6
408,256E,2
409,2571,X
40X,257E,2
40E,2581,X
410,258E,6
411,2595,8
412,25X1,26
413,2607,X
414,2615,2
415,2617,X
416,2625,8
417,2631,6
418,2637,X
419,2645,16
41X,265E,6
41E,2665,10
420,2675,10
421,2685,2
422,2687,16
423,26X1,6
424,26X7,4
425,26XE,6
426,26E5,6
427,26EE,16
428,2715,2
429,2717,X
42X,2725,12
42E,2737,6
430,2741,4
431,2745,2
432,2747,4
433,274E,20
434,276E,2
435,2771,10
436,2781,6
437,2787,14
438,279E,8
439,27X7,6
43X,27E1,6
43E,27E7,16
440,2811,14
441,2825,2
442,2827,4
443,282E,6
444,2835,2
445,2837,6
446,2841,6
447,2847,X
448,2855,6
449,285E,10
44X,286E,10
44E,287E,16
450,2895,2
451,2897,6
452,28X1,4
453,28X5,16
454,28EE,8
455,2907,20
456,2927,4
457,292E,2
458,2931,4
459,2935,6
45X,293E,2
45E,2941,10
460,2951,4
461,2955,12
462,2967,26
463,2991,X
464,299E,6
465,29X5,10
466,29E5,12
467,2X07,6
468,2X11,X
469,2X1E,10
46X,2X2E,2
46E,2X31,4
470,2X35,6
471,2X3E,8
472,2X47,6
473,2X51,X
474,2X5E,2
475,2X61,4
476,2X65,12
477,2X77,6
478,2X81,6
479,2X87,4
47X,2X8E,6
47E,2X95,2
480,2X97,X
481,2XX5,2
482,2XX7,14
483,2XEE,10
484,2E0E,8
485,2E17,16
486,2E31,4
487,2E35,6
488,2E3E,10
489,2E4E,2
48X,2E51,6
48E,2E57,6
490,2E61,6
491,2E67,24
492,2E8E,6
493,2E95,12
494,2EX7,4
495,2EXE,8
496,2EE7,X
497,3005,8
498,3011,10
499,3021,16
49X,3037,4
49E,303E,2
4X0,3041,4
4X1,3045,20
4X2,3065,10
4X3,3075,6
4X4,307E,2
4X5,3081,14
4X6,3095,6
4X7,309E,6
4X8,30X5,12
4X9,30E7,X
4XX,3105,12
4XE,3117,4
4E0,311E,26
4E1,3145,6
4E2,314E,6
4E3,3155,6
4E4,315E,8
4E5,3167,6
4E6,3171,4
4E7,3175,2
4E8,3177,10
4E9,3187,6
4EX,3191,4
4EE,3195,2
500,3197,6
501,31X1,1X
502,31EE,6
503,3205,2
504,3207,4
505,320E,16
506,3225,2
507,3227,4
508,322E,10
509,323E,2
50X,3241,6
50E,3247,4
510,324E,22
511,3271,6
512,3277,6
513,3281,4
514,3285,8
515,3291,X
516,329E,28
517,3307,14
518,331E,2
519,3321,6
51X,3327,4
51E,332E,2
520,3331,4
521,3335,2
522,3337,X
523,3345,12
524,3357,6
525,3361,4
526,3365,8
527,3371,X
528,337E,6
529,3385,18
52X,33X1,4
52E,33X5,2
530,33X7,6
531,33E1,26
532,3417,4
533,341E,8
534,3427,X
535,3435,6
536,343E,6
537,3445,8
538,3451,6
539,3457,10
53X,3467,4
53E,346E,6
540,3475,2
541,3477,6
542,3481,4
543,3485,6
544,348E,2
545,3491,X
546,349E,2
547,34X1,14
548,34E5,6
549,34EE,18
54X,3517,4
54E,351E,10
550,352E,12
551,3541,24
552,3565,6
553,356E,18
554,3587,4
555,358E,16
556,35X5,8
557,35E1,6
558,35E7,4
559,35EE,6
55X,3605,12
55E,3617,6
560,3621,6
561,3627,X
562,3635,2
563,3637,X
564,3645,10
565,3655,8
566,3661,X
567,366E,2
568,3671,X
569,367E,8
56X,3687,10
56E,3697,X
570,36X5,20
571,3705,2
572,3707,4
573,370E,8
574,3717,6
575,3721,4
576,3725,8
577,3731,16
578,3747,X
579,3755,6
57X,375E,6
57E,3765,2
580,3767,6
581,3771,X
582,377E,10
583,378E,2
584,3791,X
585,379E,6
586,37X5,6
587,37XE,6
588,37E5,8
589,3801,6
58X,3807,X
58E,3815,6
590,381E,2
591,3821,6
592,3827,6
593,3831,6
594,3837,X
595,3845,8
596,3851,20
597,3871,6
598,3877,1X
599,3895,2
59X,3897,16
59E,38E1,4
5X0,38E5,8
5X1,3901,X
5X2,390E,26
5X3,3935,8
5X4,3941,16
5X5,3957,4
5X6,395E,2
5X7,3961,X
5X8,396E,6
5X9,3975,2
5XX,3977,6
5XE,3981,4
5E0,3985,16
5E1,399E,8
5E2,39X7,10
5E3,39E7,16
5E4,3X11,14
5E5,3X25,6
5E6,3X2E,2
5E7,3X31,10
5E8,3X41,6
5E9,3X47,X
5EX,3X55,2
5EE,3X57,X
600,3X65,2
601,3X67,6
602,3X71,X
603,3X7E,12
604,3X91,4
605,3X95,20
606,3XE5,2
607,3XE7,14
608,3E0E,2
609,3E11,X
60X,3E1E,2
60E,3E21,X
610,3E2E,18
611,3E47,4
