1,2,12
1,3,13
1,4,14
1,5,151
1,6,16
1,7,1771
1,8,188
1,9,199
1,X,1X1X
1,E,11111111111E
2,4,24
2,5,252
2,6,26
2,7,2772
2,8,28
2,X,2X2
2,E,2222222222E2
3,5,353
3,6,36
3,7,3773
3,9,39
3,E,3333333333E3
4,5,454
4,7,4774
4,8,48
4,X,4X4
4,E,4444444444E4
5,6,656
5,7,57575
5,8,58888
5,9,59999
5,X,5X
5,E,5555555555E5E
6,7,6776
6,X,6X6
6,E,6666666666E6
7,8,88788
7,9,99799
7,X,X7X7X
7,E,777777777E77E
8,X,8X8
8,E,888888888E88
9,E,999999999E99
X,E,XXXXXXXXXEXEX
