1,2
2,2
3,3
4,5
5,5
6,3
7,2
8,8
9,7
X,5
E,3
10,10
11,3
12,2
13,6
14,15
15,2
16,7
17,5
18,5
19,7
1X,3
1E,2
20,10
21,6
22,3
23,7
24,8
25,5
26,6
27,2
28,15
29,3
2X,2
2E,E
30,11
31,3
32,5
33,3
34,18
35,2
36,7
37,6
38,5
39,X
3X,2
3E,2
40,29
41,2
42,6
43,11
44,10
45,6
46,7
47,5
48,8
49,6
4X,5
4E,3
50,19
51,3
52,2
53,7
54,15
55,X
56,3
57,6
58,8
59,3
5X,E
5E,2
60,24
61,2
62,3
63,6
64,5
65,E
66,3
67,2
68,18
69,7
6X,2
6E,3
70,19
71,13
72,6
73,6
74,10
75,2
76,X
77,12
78,8
79,7
7X,2
7E,5
80,29
81,2
82,2
83,1X
84,19
85,5
86,11
87,2
88,10
89,13
8X,6
8E,3
90,11
91,3
92,5
93,3
94,28
95,2
96,6
97,6
98,5
99,X
9X,3
9E,2
X0,20
X1,3
X2,3
X3,X
X4,5
X5,6
X6,7
X7,2
X8,15
X9,6
XX,X
XE,3
E0,10
E1,7
E2,6
E3,X
E4,8
E5,2
E6,3
E7,5
E8,19
E9,3
EX,2
EE,3
100,44
101,5
102,2
103,13
104,10
105,5
106,6
107,2
108,15
109,11
10X,E
10E,5
110,10
111,3
112,2
113,6
114,35
115,2
116,7
117,6
118,5
119,13
11X,3
11E,2
120,24
121,3
122,13
123,7
124,11
125,6
126,6
127,E
128,18
129,3
12X,2
12E,3
130,34
131,3
132,12
133,3
134,8
135,X
136,7
137,13
138,8
139,7
13X,5
13E,2
140,29
141,2
142,2
143,X
144,8
145,6
146,1X
147,2
148,20
149,6
14X,5
14E,7
150,11
151,5
152,2
153,11
154,15
155,5
156,13
157,5
158,11
159,3
15X,3
15E,6
160,24
161,2
162,3
163,3
164,5
165,11
166,3
167,2
168,28
169,17
16X,2
16E,3
170,20
171,3
172,6
173,13
174,18
175,2
176,X
177,6
178,5
179,X
17X,2
17E,2
180,70
181,2
182,3
183,7
184,5
185,E
186,X
187,15
188,8
189,3
18X,6
18E,3
190,24
191,3
192,2
