[17, 28]: 1
[19, 28]: 1
[1E, 28]: 1
[21, 28]: 2
[23, 28]: 1
[25, 28]: 1
[27, 28]: 1
[1, 29]: X
[2, 29]: 1
[4, 29]: 2
[5, 29]: 1
[7, 29]: 1
[8, 29]: 1
[X, 29]: 5
[11, 29]: 1
[12, 29]: 1
[14, 29]: 2
[15, 29]: 1
[17, 29]: 1
[18, 29]: 1
[1E, 29]: 5
[21, 29]: 2
[22, 29]: 1
[24, 29]: 1
[25, 29]: 1
[27, 29]: 2
[28, 29]: 5
[1, 2X]: 14
[3, 2X]: 1
[5, 2X]: 1
[7, 2X]: 1
[9, 2X]: 2
[E, 2X]: 1
[11, 2X]: 4
[13, 2X]: 2
[17, 2X]: 2
[19, 2X]: 4
[1E, 2X]: 1
[21, 2X]: 2
[23, 2X]: 1
[25, 2X]: 1
[27, 2X]: 1
[29, 2X]: 8
[1, 2E]: 10
[2, 2E]: 1
[3, 2E]: 1
[4, 2E]: 2
[6, 2E]: 3
[8, 2E]: 3
[9, 2E]: 2
[E, 2E]: 4
[10, 2E]: 1
[11, 2E]: 3
[14, 2E]: 4
[15, 2E]: 1
[16, 2E]: 1
[17, 2E]: 1
[1X, 2E]: 3
[1E, 2E]: 1
[20, 2E]: 1
[22, 2E]: 1
[23, 2E]: 3
[25, 2E]: 6
[27, 2E]: 1
[28, 2E]: 1
[29, 2E]: 1
[2X, 2E]: 3
[1, 30]: 6
[5, 30]: 1
[7, 30]: 1
[E, 30]: 1
[11, 30]: 2
[15, 30]: 3
[17, 30]: 3
[1E, 30]: 1
[21, 30]: 2
[25, 30]: 1
[27, 30]: 1
[2E, 30]: 3
[1, 31]: 30
[2, 31]: 1
[3, 31]: 2
[4, 31]: 2
[5, 31]: 1
[6, 31]: 9
[7, 31]: 4
[8, 31]: 3
[9, 31]: 4
[X, 31]: 10
[E, 31]: 6
[10, 31]: 4
[11, 31]: 1
[12, 31]: 3
[13, 31]: 1
[14, 31]: 4
[15, 31]: 1
[16, 31]: 1
[17, 31]: 1
[18, 31]: 1
[19, 31]: 2
[1X, 31]: 1
[1E, 31]: 3
[20, 31]: 1
[21, 31]: 2
[22, 31]: 10
[23, 31]: 6
[24, 31]: 2
[25, 31]: 3
[26, 31]: 2
[27, 31]: 9
[28, 31]: 1
[29, 31]: 4
[2X, 31]: 4
[2E, 31]: 1
[30, 31]: 16
[1, 32]: 16
[3, 32]: 1
[5, 32]: 2
[7, 32]: 6
[9, 32]: 2
[E, 32]: 6
[11, 32]: 1
[13, 32]: 1
[15, 32]: 2
[19, 32]: 1
[1E, 32]: 2
[21, 32]: 2
[23, 32]: 3
[25, 32]: 1
[27, 32]: 3
[29, 32]: 1
[2E, 32]: 2
[31, 32]: 9
[1, 33]: 10
[2, 33]: 1
[4, 33]: 2
[5, 33]: 3
[7, 33]: 1
[8, 33]: 3
[X, 33]: 2
[E, 33]: 1
[12, 33]: 3
[14, 33]: 4
[15, 33]: 1
[17, 33]: 1
[18, 33]: 1
[1X, 33]: 4
[1E, 33]: 1
[21, 33]: 6
[24, 33]: 1
[25, 33]: 1
[27, 33]: 3
[28, 33]: 1
[2X, 33]: 3
[2E, 33]: 1
[31, 33]: 1
[32, 33]: 3
[1, 34]: 4
[3, 34]: 1
[7, 34]: 1
[9, 34]: 2
[E, 34]: 1
[11, 34]: 1
[15, 34]: 1
[17, 34]: 1
[19, 34]: 1
[1E, 34]: 1
[23, 34]: 1
[25, 34]: 1
[27, 34]: 1
[29, 34]: 1
[31, 34]: 1
[33, 34]: 1
[1, 35]: 34
[2, 35]: 2
[3, 35]: 5
[4, 35]: 4
[5, 35]: 2
[6, 35]: 1
[7, 35]: 1
[8, 35]: 2
[9, 35]: X
[X, 35]: 8
[E, 35]: 1
[10, 35]: 1
[11, 35]: 1
[12, 35]: 5
[13, 35]: 1
[14, 35]: 8
[15, 35]: 1
[16, 35]: 8
[17, 35]: 1
[18, 35]: 2
[19, 35]: 2
[1X, 35]: 1
[1E, 35]: 4
[20, 35]: 1
[21, 35]: 4
[22, 35]: 1
[23, 35]: 5
[24, 35]: 1
[25, 35]: 1
[26, 35]: 1
[27, 35]: 4
[28, 35]: X
[29, 35]: 2
[2X, 35]: 1
[2E, 35]: 1
[30, 35]: 2
[31, 35]: 8
[32, 35]: 5
[33, 35]: 2
[34, 35]: 18
[1, 36]: 6
[5, 36]: 1
[E, 36]: 1
[11, 36]: 3
[15, 36]: 1
[17, 36]: 1
[1E, 36]: 1
[21, 36]: 2
[25, 36]: 3
[27, 36]: 1
[31, 36]: 2
[35, 36]: 3
[1, 37]: 36
[2, 37]: 3
[3, 37]: 1
[4, 37]: 6
[5, 37]: 1
[6, 37]: 12
[7, 37]: 7
[8, 37]: 3
[9, 37]: 2
[X, 37]: 2
[E, 37]: 6
[10, 37]: 1
[11, 37]: 2
[12, 37]: 2
[13, 37]: 2
[14, 37]: 6
[15, 37]: 2
[16, 37]: 1
[17, 37]: 1
[18, 37]: 1
[19, 37]: 6
[1X, 37]: 3
[1E, 37]: 2
[20, 37]: 2
[21, 37]: 2
[22, 37]: 1
[23, 37]: 3
[24, 37]: 1
[25, 37]: 1
[26, 37]: 1
[27, 37]: 2
[28, 37]: 3
[29, 37]: 1
[2X, 37]: 1
[2E, 37]: 6
[30, 37]: 12
[31, 37]: 7
[32, 37]: 2
[33, 37]: 3
[34, 37]: 2
[35, 37]: 6
[36, 37]: 19
[1, 38]: X
[3, 38]: 1
[5, 38]: 2
[7, 38]: 1
[9, 38]: 2
[11, 38]: 1
[13, 38]: 1
[15, 38]: 1
[17, 38]: 1
[19, 38]: 5
[1E, 38]: 5
[21, 38]: 2
[23, 38]: 1
[25, 38]: 1
[27, 38]: 1
[2E, 38]: 1
[31, 38]: 2
[33, 38]: 1
[35, 38]: 1
[37, 38]: 5
[1, 39]: 10
[2, 39]: 1
[4, 39]: 2
[7, 39]: 1
[8, 39]: 3
[E, 39]: 1
[11, 39]: 1
[12, 39]: 1
[14, 39]: 4
[15, 39]: 3
[17, 39]: 6
[1X, 39]: 1
[1E, 39]: 1
[22, 39]: 3
[24, 39]: 3
[25, 39]: 1
[27, 39]: 4
[28, 39]: 1
[2X, 39]: 2
[31, 39]: 3
[32, 39]: 1
[35, 39]: 1
[37, 39]: 1
[38, 39]: 3
[1, 3X]: 1X
[3, 3X]: 2
[5, 3X]: 1
[7, 3X]: 1
[9, 3X]: 2
[E, 3X]: 1
[11, 3X]: 2
[13, 3X]: 1
[15, 3X]: 1
[17, 3X]: 1
[19, 3X]: 1
[21, 3X]: 2
[23, 3X]: 2
[25, 3X]: 2
[27, 3X]: 2
[29, 3X]: 1
[2E, 3X]: 2
[31, 3X]: 1
[33, 3X]: 2
[35, 3X]: 2
[37, 3X]: 1
[39, 3X]: E
[1, 3E]: 3X
[2, 3E]: 2
[3, 3E]: 2
[4, 3E]: 2
[5, 3E]: 1
[6, 3E]: 2
[7, 3E]: 2
[8, 3E]: 2
[9, 3E]: 2
[X, 3E]: 1
[E, 3E]: 1
[10, 3E]: 2
[11, 3E]: 1
[12, 3E]: 2
[13, 3E]: 1
[14, 3E]: 2
[15, 3E]: 2
[16, 3E]: 2
[17, 3E]: 1
[18, 3E]: 1
[19, 3E]: 2
[1X, 3E]: 1
[1E, 3E]: 1
[20, 3E]: 2
[21, 3E]: 2
[22, 3E]: 1
[23, 3E]: 2
[24, 3E]: 2
[25, 3E]: 1
[26, 3E]: 1
[27, 3E]: 1
[28, 3E]: 2
[29, 3E]: 1
[2X, 3E]: 2
[2E, 3E]: 1
[30, 3E]: 2
[31, 3E]: 2
[32, 3E]: 1
[33, 3E]: 1
[34, 3E]: 1
[35, 3E]: 1
[36, 3E]: 2
[37, 3E]: 1
[38, 3E]: 1
[39, 3E]: 1
[3X, 3E]: 1E
[1, 40]: 4
[5, 40]: 1
[7, 40]: 1
[E, 40]: 1
[11, 40]: 1
[15, 40]: 1
[17, 40]: 1
[1E, 40]: 1
[21, 40]: 2
[25, 40]: 1
[27, 40]: 1
[2E, 40]: 1
[31, 40]: 1
[35, 40]: 1
[37, 40]: 1
[3E, 40]: 1
[1, 41]: 36
[2, 41]: 2
[3, 41]: 1
[4, 41]: 2
[5, 41]: 1
[6, 41]: 3
[8, 41]: 6
[9, 41]: 2
[X, 41]: 1
[E, 41]: 2
[10, 41]: 1
[11, 41]: 3
[13, 41]: 6
[14, 41]: 2
[15, 41]: 1
[16, 41]: 12
[17, 41]: 7
[18, 41]: 3
[1X, 41]: 6
[1E, 41]: 2
[20, 41]: 1
[21, 41]: 2
[22, 41]: 1
[23, 41]: 3
[25, 41]: 6
[26, 41]: 12
[27, 41]: 7
[28, 41]: 2
[29, 41]: 1
[2X, 41]: 3
[30, 41]: 6
[31, 41]: 2
[32, 41]: 1
[33, 41]: 2
[34, 41]: 1
[35, 41]: 3
[37, 41]: 6
[38, 41]: 2
[39, 41]: 1
[3X, 41]: 2
[3E, 41]: 1
[40, 41]: 19
[1, 42]: 18
[3, 42]: 1
[7, 42]: 5
[9, 42]: 2
[E, 42]: 4
[11, 42]: 1
[15, 42]: 1
[17, 42]: 2
[19, 42]: 4
[1E, 42]: 1
[23, 42]: 1
[25, 42]: 2
[27, 42]: 4
[29, 42]: 1
[31, 42]: 1
[33, 42]: 2
[35, 42]: 4
[37, 42]: 5
[3E, 42]: 1
[41, 42]: X
[1, 43]: 14
[2, 43]: 1
[4, 43]: 4
[5, 43]: 1
[7, 43]: 1
[8, 43]: 1
[X, 43]: 1
[E, 43]: 1
[11, 43]: 4
[12, 43]: 1
[14, 43]: 8
[17, 43]: 2
[18, 43]: 1
[1X, 43]: 1
[1E, 43]: 1
[21, 43]: 2
[22, 43]: 1
[24, 43]: 1
[25, 43]: 1
[27, 43]: 1
[28, 43]: 1
[2E, 43]: 1
[31, 43]: 1
[32, 43]: 1
[34, 43]: 1
[35, 43]: 1
[37, 43]: 2
[38, 43]: 1
[3X, 43]: 1
[3E, 43]: 1
[41, 43]: 2
[42, 43]: 1
[1, 44]: 10
[3, 44]: 1
[5, 44]: 3
[7, 44]: 1
[9, 44]: 4
[E, 44]: 1
[13, 44]: 1
[15, 44]: 2
[17, 44]: 1
[19, 44]: 3
[1E, 44]: 1
[21, 44]: 6
[23, 44]: 3
[25, 44]: 4
[27, 44]: 3
[29, 44]: 1
[2E, 44]: 1
[31, 44]: 1
[35, 44]: 1
[37, 44]: 1
[39, 44]: 1
[3E, 44]: 3
[41, 44]: 2
[43, 44]: 3
[1, 45]: 44
[2, 45]: 1
[3, 45]: 1
[4, 45]: 2
[5, 45]: 1
[6, 45]: 2
[7, 45]: 2
[8, 45]: 1
[9, 45]: 2
[X, 45]: 4
[E, 45]: 2
[10, 45]: 1
[11, 45]: 4
[12, 45]: 1
[13, 45]: 4
[14, 45]: 4
[15, 45]: 2
[16, 45]: 1
[17, 45]: 1
[18, 45]: 1
[19, 45]: 1
[1X, 45]: 1
[1E, 45]: 11
[20, 45]: 4
[21, 45]: 2
[22, 45]: 1
[23, 45]: 1
[24, 45]: 4
[25, 45]: 2
[26, 45]: 11
[27, 45]: 1
[28, 45]: 1
[29, 45]: 1
[2X, 45]: 1
[2E, 45]: 1
[30, 45]: 4
[31, 45]: 2
[32, 45]: 2
[33, 45]: 1
[34, 45]: 2
[35, 45]: 1
[36, 45]: 4
[37, 45]: 2
[38, 45]: 4
[39, 45]: 1
[3X, 45]: 4
[3E, 45]: 4
[40, 45]: 1
[41, 45]: 4
[42, 45]: 1
[43, 45]: 1
[44, 45]: 22
[1, 46]: 16
[5, 46]: 1
[7, 46]: 2
[E, 46]: 1
[11, 46]: 2
[15, 46]: 3
[17, 46]: 6
[1E, 46]: 1
[21, 46]: 2
[25, 46]: 1
