Recognized ABC Sieve file:
ABC File
Switching to Exponentiating using GMP
(394^357-1)^2-2 is composite: RES64: [0E6C677402F02180] (0.1661s+0.0555s)
(394^362+1)^2-2 is composite: RES64: [4825DECF59F24CBB] (0.1761s+0.0008s)
(394^366-1)^2-2 is composite: RES64: [BDDB9C2D1A3113CA] (0.2472s+0.0005s)
(394^373-1)^2-2 is composite: RES64: [25CDFDFB7C88B1A1] (0.1437s+0.0004s)
(394^378+1)^2-2 is composite: RES64: [22F6100ACAC6AC1D] (0.1474s+0.0008s)
(394^390-1)^2-2 is composite: RES64: [978ABA2C23EEE4A3] (0.1588s+0.0004s)
(394^399-1)^2-2 is composite: RES64: [C16F172BF71F17AF] (0.1922s+0.0145s)
(394^402-1)^2-2 is composite: RES64: [88064C048359E784] (0.1964s+0.0475s)
(394^409-1)^2-2 is composite: RES64: [FDFC446991212A45] (0.3565s+0.0206s)
(394^411+1)^2-2 is composite: RES64: [45D47F586BD2FFAA] (0.2978s+0.0872s)
(394^417-1)^2-2 is composite: RES64: [446C6018B807A049] (0.2303s+0.0441s)
(394^425+1)^2-2 is composite: RES64: [048F10A3CEAABD8A] (0.2805s+0.0137s)
(394^439-1)^2-2 is composite: RES64: [AC0D71059F6FCEC6] (0.1971s+0.0722s)
(394^452+1)^2-2 is composite: RES64: [2183B0066670E676] (0.1986s+0.0006s)
(394^458+1)^2-2 is composite: RES64: [89F56A18C9148FFA] (0.2018s+0.0008s)
(394^460-1)^2-2 is composite: RES64: [E13449EA1329982D] (0.2003s+0.0004s)
(394^461+1)^2-2 is composite: RES64: [CA375AA9B8F5B349] (0.3530s+0.0007s)
(394^462-1)^2-2 is composite: RES64: [589238E53A978805] (0.2723s+0.0292s)
(394^469-1)^2-2 is composite: RES64: [9FBC2B4D6EDD7BE7] (0.2669s+0.0491s)
(394^471+1)^2-2 is composite: RES64: [9C2FD39EF88498F8] (0.3723s+0.0015s)
(394^480+1)^2-2 is composite: RES64: [F4F8E5ED4C7C8B75] (0.9565s+0.0371s)
(394^487-1)^2-2 is composite: RES64: [C602BB9471C319F2] (0.4290s+0.0241s)
(394^488+1)^2-2 is composite: RES64: [B61C8137EBDB4CF7] (0.2834s+0.0011s)
(394^495+1)^2-2 is composite: RES64: [E453948C2035F1B7] (0.3962s+0.0094s)
(394^495-1)^2-2 is composite: RES64: [2BF7CC39C1F32FFD] (0.5990s+0.0679s)
(394^503+1)^2-2 is composite: RES64: [B51F9E61B917F1E7] (0.5517s+0.1092s)
(394^504+1)^2-2 is composite: RES64: [7F42189BC5782543] (0.6789s+0.1473s)
(394^512+1)^2-2 is composite: RES64: [3A3B66A72EACFC10] (0.3238s+0.0607s)
(394^519-1)^2-2 is composite: RES64: [26B6FBAB2E68118D] (0.3963s+0.0101s)
(394^522+1)^2-2 is composite: RES64: [DDF89977FE722FA0] (0.3703s+0.0066s)
(394^525+1)^2-2 is composite: RES64: [FBA80C1961E88AC9] (0.3994s+0.0160s)
(394^530+1)^2-2 is composite: RES64: [4C451FFD13A94BED] (0.6547s+0.0512s)
(394^537-1)^2-2 is composite: RES64: [9A035B1FE0D8FFB3] (0.5266s+0.0409s)
(394^548+1)^2-2 is composite: RES64: [8122752704762B89] (0.6740s+0.0319s)
(394^549-1)^2-2 is composite: RES64: [25417CCB4591A0C6] (0.4027s+0.0384s)
(394^555+1)^2-2 is composite: RES64: [70D6A5D33B319FD9] (0.5483s+0.0309s)
(394^559-1)^2-2 is composite: RES64: [922CA5DED5AB5AD5] (0.5087s+0.0559s)
(394^562-1)^2-2 is composite: RES64: [F2E4B7F5D79018CE] (0.8281s+0.1314s)
(394^567-1)^2-2 is composite: RES64: [FD2EA0C15F150E5C] (0.5182s+0.0471s)
(394^576-1)^2-2 is composite: RES64: [53EFD2E92D42040F] (0.4136s+0.0137s)
(394^585-1)^2-2 is composite: RES64: [64A6B697744120BE] (0.9502s+0.0017s)
(394^588-1)^2-2 is composite: RES64: [4E6483BA023DAB06] (0.5636s+0.0779s)
(394^595-1)^2-2 is composite: RES64: [6FCBFC1C3FEF8EAD] (0.7003s+0.0982s)
(394^597-1)^2-2 is composite: RES64: [E17FB23EDD38F815] (0.6691s+0.0247s)
(394^600-1)^2-2 is composite: RES64: [15B2DF7BB62250E7] (0.6923s+0.1214s)
(394^606-1)^2-2 is composite: RES64: [CEF585191C5EB3E5] (0.9423s+0.0974s)
(394^615+1)^2-2 is composite: RES64: [812DD41B22C2F894] (1.2563s+0.1013s)
(394^620+1)^2-2 is composite: RES64: [722CBB6AB9BF2C79] (0.6403s+0.1273s)
(394^621+1)^2-2 is composite: RES64: [523FE45E5FFF8DEA] (0.6092s+0.0706s)
(394^624+1)^2-2 is composite: RES64: [B33C48B5C2C318F3] (0.9333s+0.3283s)
(394^636-1)^2-2 is composite: RES64: [3F3CDA9211733FA7] (0.6812s+0.0673s)
(394^645-1)^2-2 is composite: RES64: [BDF7D856AD2D714E] (0.8422s+0.0304s)
(394^653+1)^2-2 is composite: RES64: [4FD7ED7E8F77502F] (1.4397s+0.0607s)
(394^657+1)^2-2 is composite: RES64: [12475654910F9FC3] (0.9436s+0.2054s)
(394^663-1)^2-2 is composite: RES64: [7DCBBE80BEC2C88B] (0.9311s+0.0521s)
(394^665+1)^2-2 is composite: RES64: [BA8DE73140B27964] (0.8433s+0.0716s)
(394^684+1)^2-2 is composite: RES64: [D827FA888CBC1342] (0.9081s+0.2029s)
(394^687+1)^2-2 is composite: RES64: [B047E017CFE90534] (0.8852s+0.0287s)
(394^692+1)^2-2 is composite: RES64: [F62086534360B089] (1.1590s+0.0497s)
(394^695+1)^2-2 is composite: RES64: [6249CD82DC30CD40] (0.7866s+0.1328s)
(394^702-1)^2-2 is composite: RES64: [DC7D9C3BBC95ACA5] (0.8782s+0.0556s)
(394^703-1)^2-2 is composite: RES64: [2E152871FAD22BDD] (1.0113s+0.0809s)
(394^705-1)^2-2 is composite: RES64: [A98B8190B577CA26] (1.0090s+0.0943s)
(394^720-1)^2-2 is composite: RES64: [B2B4CB2CC4559181] (1.1940s+0.0267s)
(394^730-1)^2-2 is composite: RES64: [A0659BBEB603D6F4] (1.1231s+0.0617s)
(394^738-1)^2-2 is composite: RES64: [3BD751E37721AA19] (0.9455s+0.0135s)
(394^747+1)^2-2 is composite: RES64: [1C97FBF16A86EBF6] (1.5928s+0.0810s)
(394^753+1)^2-2 is composite: RES64: [5148F379E7DE087F] (1.7263s+0.0694s)
(394^758+1)^2-2 is composite: RES64: [9ED303449A14741D] (1.4327s+0.0212s)
(394^759-1)^2-2 is composite: RES64: [A0B021F2008ABB8C] (1.1512s+0.2495s)
(394^761+1)^2-2 is composite: RES64: [FD9853438973A20B] (1.0750s+0.0406s)
(394^765+1)^2-2 is composite: RES64: [DAD202D638A2377F] (0.9918s+0.0403s)
(394^768-1)^2-2 is composite: RES64: [19B46BDBFA7011E7] (1.0251s+0.1414s)
(394^774+1)^2-2 is composite: RES64: [A9C4F7B76E1B4BDE] (1.4573s+0.1375s)
(394^777+1)^2-2 is composite: RES64: [290A056539FFAB69] (1.4770s+0.1864s)
(394^777-1)^2-2 is composite: RES64: [93E405AC9F2839D6] (1.6920s+0.1118s)
(394^791+1)^2-2 is composite: RES64: [2270EDD587C9A738] (0.9569s+0.1992s)
(394^797+1)^2-2 is composite: RES64: [88EA1B5C995209D2] (1.2198s+0.0330s)
(394^798+1)^2-2 is composite: RES64: [7BDEC69BE7E73417] (1.1254s+0.2015s)
(394^800+1)^2-2 is composite: RES64: [115631C249300E8F] (1.5061s+0.0601s)
(394^801+1)^2-2 is composite: RES64: [4F896DD1A0D18B89] (1.1919s+0.3491s)
(394^804+1)^2-2 is composite: RES64: [C17467244FA5FEA6] (1.0528s+0.0330s)
(394^818+1)^2-2 is composite: RES64: [E3598E1C0183444A] (1.3875s+0.0661s)
(394^828-1)^2-2 is composite: RES64: [92E34348C9136245] (1.1109s+0.1255s)
(394^834+1)^2-2 is composite: RES64: [99095A64D4BA38F9] (1.8460s+0.0411s)
(394^845+1)^2-2 is composite: RES64: [E8B706143AF9A18C] (1.1990s+0.0973s)
(394^846-1)^2-2 is composite: RES64: [C81A1BB313769544] (1.3008s+0.1041s)
(394^848+1)^2-2 is composite: RES64: [A6E56F6D3AFF5F55] (1.2995s+0.0732s)
(394^855+1)^2-2 is composite: RES64: [A7F0F31635EF168E] (1.2657s+0.0752s)
(394^857+1)^2-2 is composite: RES64: [7A9CC260CD10EB57] (1.3860s+0.0648s)
(394^868-1)^2-2 is composite: RES64: [7F259DF157D72C19] (1.3277s+0.0377s)
(394^887+1)^2-2 is composite: RES64: [1DB810A168840167] (1.3732s+0.0671s)
(394^888+1)^2-2 is composite: RES64: [7EE743969549C357] (1.3043s+0.0658s)
(394^889-1)^2-2 is composite: RES64: [E8EC0E2C398C49D9] (1.5171s+0.0551s)
(394^891+1)^2-2 is composite: RES64: [711927242BD8FFC2] (1.3406s+0.1773s)
(394^892-1)^2-2 is composite: RES64: [7BD85FC61144A8CB] (1.9874s+0.3599s)
(394^903-1)^2-2 is composite: RES64: [B70AFAE5F0A1BE45] (1.5710s+0.1284s)
(394^906-1)^2-2 is composite: RES64: [565D8783739D6A8E] (1.2666s+0.0709s)
(394^924+1)^2-2 is composite: RES64: [3A63C71E0B06508A] (1.8513s+0.0772s)
(394^932+1)^2-2 is composite: RES64: [1E2C9F98FF634041] (1.5274s+0.0577s)
(394^941+1)^2-2 is composite: RES64: [372C2D45E8BA851E] (1.6510s+0.0077s)
(394^951+1)^2-2 is composite: RES64: [D1F6C701F02118DB] (1.7113s+0.0291s)
(394^953+1)^2-2 is composite: RES64: [1A9B5FE99B7AEB7F] (2.0086s+0.1719s)
(394^968+1)^2-2 is composite: RES64: [1797A883AE52C1A9] (1.7648s+0.0368s)
(394^978+1)^2-2 is composite: RES64: [A2D1C6F70401A845] (1.7502s+0.2701s)
(394^990+1)^2-2 is composite: RES64: [7653E0684807CC61] (1.9349s+0.0863s)
(394^992+1)^2-2 is composite: RES64: [4B12788DEC559772] (3.2236s+0.0432s)
(394^996-1)^2-2 is composite: RES64: [47334CF4784BACB6] (2.0274s+0.1654s)
(394^1002-1)^2-2 is composite: RES64: [323E2560B19625D2] (2.0166s+0.1463s)
(394^1010+1)^2-2 is composite: RES64: [932413F436F4E213] (2.2591s+0.1091s)
(394^1015-1)^2-2 is composite: RES64: [5F4D916EE33B1EF7] (2.4555s+0.0641s)
(394^1017-1)^2-2 is composite: RES64: [1BCEDCB6E1832B6A] (2.2260s+0.0702s)
(394^1020+1)^2-2 is composite: RES64: [EC6EDD33CD808844] (2.0685s+0.1423s)
(394^1025+1)^2-2 is composite: RES64: [4560CBFA2EEC99B7] (2.1840s+0.1485s)
(394^1041+1)^2-2 is composite: RES64: [31671871F1FAAAD0] (2.4136s+0.0528s)
(394^1044+1)^2-2 is composite: RES64: [B057D76B3A5CA47C] (3.1195s+0.0590s)
(394^1047-1)^2-2 is composite: RES64: [7381D0ADA9FEDE34] (2.7503s+0.2034s)
(394^1048-1)^2-2 is composite: RES64: [7C8E4875C24FC345] (2.0876s+0.0541s)
(394^1050-1)^2-2 is composite: RES64: [402405E9F8B2CA91] (3.0064s+0.1032s)
(394^1055+1)^2-2 is composite: RES64: [C44C21865D1FF9CF] (2.1912s+0.1349s)
(394^1056-1)^2-2 is composite: RES64: [23D729C36F9308BF] (2.3327s+0.0664s)
(394^1065-1)^2-2 is composite: RES64: [33B239FC51ECE236] (2.3371s+0.0793s)
(394^1068+1)^2-2 is composite: RES64: [7C2B52C65B8F8E08] (2.6941s+0.0511s)
(394^1073+1)^2-2 is composite: RES64: [DFF3D790DB095B17] (2.1208s+0.0913s)
(394^1080-1)^2-2 is composite: RES64: [236D958276BC61DC] (2.1980s+0.0660s)
(394^1082+1)^2-2 is composite: RES64: [4BF49F5862DE92B4] (2.2798s+0.0453s)
(394^1083+1)^2-2 is composite: RES64: [D6D2364F841CEABA] (2.1378s+0.0691s)
(394^1085+1)^2-2 is composite: RES64: [FD596941DF3468EB] (2.1786s+0.1155s)
(394^1090-1)^2-2 is composite: RES64: [43B0BB43FED11E62] (2.3660s+0.0453s)
(394^1097+1)^2-2 is composite: RES64: [CD2922B37E78F033] (2.3465s+0.0731s)
(394^1101+1)^2-2 is composite: RES64: [1FD8BE45744E8439] (3.4270s+0.0660s)
(394^1107-1)^2-2 is composite: RES64: [4AA1A73EE45548BA] (2.6909s+0.1276s)
(394^1113-1)^2-2 is composite: RES64: [077BC4A5190E7177] (3.4444s+0.0972s)
(394^1121+1)^2-2 is composite: RES64: [0A85AD813C511F9E] (2.6040s+0.0438s)
(394^1123-1)^2-2 is composite: RES64: [917DCA61BAE2CE4B] (2.3854s+0.1184s)
