4, 0, 0
6, 3, 2
9, 26, 1
10, 11, 25
14, 14, 13
15, 59, 61
21, 83, 22
22, 23, 142
25, 443, 157
26, 338, 598
33, 263, 562
34, 578, 697
38, 38, 817
39, 662, 313
46, 47, 1402
49, 227, 178
51, 3467, 3622
57, 1823, 58
58, 842, 3973
62, 4898, 1642
65, 983, 502
69, 4622, 277
74, 4847, 3922
82, 2747, 1762
85, 4127, 1237
86, 11567, 3397
87, 347, 12877
91, 542, 997
93, 17483, 36922
94, 2867, 6298
106, 22367, 24538
111, 43067, 36853
118, 18527, 5722
121, 5042, 20113
122, 5063, 24217
123, 12422, 20542
129, 66047, 57922
133, 2858, 5233
134, 87302, 42478
141, 11702, 149602
142, 11147, 219958
145, 3062, 25798
146, 24602, 31462
158, 158, 67702
159, 94763, 115117
166, 247838, 121678
169, 1202, 21613
177, 111863, 55933
178, 48683, 22873
183, 186842, 100102
185, 1523, 72958
194, 58298, 56842
201, 86027, 80602
202, 45047, 19897
205, 14423, 2797
206, 32342, 33577
213, 53462, 378502
214, 79502, 155578
217, 40883, 13522
218, 37823, 582277
219, 169067, 877
226, 39098, 404653
237, 141962, 183202
249, 357563, 92878
254, 232538, 39877
259, 878, 32533
262, 162047, 373873
265, 98663, 3733
267, 232823, 370597
274, 112478, 798298
278, 27662, 554053
289, 197138, 11113
291, 124547, 159178
298, 142742, 102958
301, 32987, 60322
302, 150698, 105397
303, 485102, 1267753
305, 287138, 379858
309, 79103, 391813
314, 115238, 367222
321, 41087, 192922
326, 296987, 140017
327, 10463, 142573
334, 127922, 354373
339, 851567, 1473973
341, 2, 29473
346, 846662, 367798
358, 257402, 132997
361, 58727, 226102
362, 1050887, 186973
365, 8222, 136537
381, 923162, 2351533
382, 383, 721597
386, 470342, 109237
393, 480638, 25153
394, 384347, 349477
398, 278402, 614113
411, 786242, 298798
417, 303158, 192238
422, 231467, 2739202
427, 149558, 21058
445, 739022, 25933
446, 592958, 475213
447, 141698, 2057542
451, 18302, 1822
453, 10009487, 626953
454, 283523, 4292797
458, 277778, 264037
466, 860702, 300337
469, 473987, 733813
471, 2264567, 2433658
478, 6085658, 742333
481, 108803, 5098
482, 2252387, 1682662
485, 968567, 2531722
489, 3166763, 2138398
501, 4881242, 649798
502, 1738427, 3084538
505, 2128262, 61297
511, 210962, 1105942
514, 2338187, 281158
519, 1150103, 354478
526, 256163, 1037797
529, 37958, 296797
537, 7345622, 1421977
538, 2735462, 7248742
542, 183467, 969637
543, 4503098, 401278
545, 4453598, 369913
553, 281738, 429973
554, 581423, 1791913
561, 10103, 23602
