1,1
2,2
3,2
4,2
5,4
6,5
7,5
8,6
9,6
X,7
E,8
10,5
11,7
12,X
13,10
14,10
15,E
16,9
17,11
18,12
19,11
1X,13
1E,11
20,11
21,17
22,17
23,13
24,18
25,17
26,1E
27,17
28,20
29,19
2X,19
2E,20
30,19
31,1X
32,1E
33,21
34,26
35,25
36,27
37,25
38,22
39,26
3X,28
3E,2X
40,28
41,33
42,27
43,30
44,29
45,35
46,29
47,23
48,26
49,2X
4X,33
4E,34
50,32
51,32
52,34
53,30
54,33
55,34
56,32
57,30
58,31
59,43
5X,3X
5E,48
60,42
61,40
62,43
63,36
64,46
65,42
66,43
67,42
68,49
69,40
6X,3E
6E,48
70,54
71,50
72,53
73,4E
74,4E
75,4E
76,51
77,45
78,53
79,4E
7X,46
7E,4X
80,51
81,58
82,49
83,52
84,47
85,55
86,53
87,51
88,54
89,55
8X,57
8E,57
90,59
91,58
92,59
93,5E
94,66
95,66
96,67
97,68
98,63
99,58
9X,61
9E,61
X0,61
X1,66
X2,72
X3,68
X4,6E
X5,60
X6,64
X7,74
X8,72
X9,66
XX,67
XE,68
E0,60
E1,6E
E2,67
E3,68
E4,67
E5,79
E6,73
E7,6X
E8,73
E9,78
EX,77
EE,75
100,76
101,7E
102,74
103,6X
104,77
105,71
106,72
107,82
108,87
109,80
10X,73
10E,85
110,82
111,80
112,84
113,80
114,88
115,89
116,73
117,89
118,84
119,85
11X,82
11E,78
120,90
121,92
122,96
123,88
124,90
125,81
126,85
127,95
128,95
129,93
12X,91
12E,93
130,92
131,94
132,9E
133,X0
134,97
135,99
136,X0
137,9X
138,9E
139,9X
13X,X2
13E,X0
140,X7
141,X0
142,X3
143,XX
144,XX
145,9E
146,X0
147,9X
148,X1
149,X6
14X,X1
14E,X4
150,X2
151,105
152,E3
153,E7
154,X8
155,E5
156,X9
157,E6
158,E8
159,E0
15X,E7
15E,104
160,107
161,E8
162,EX
163,EX
164,EX
165,105
166,100
167,E7
168,E4
169,102
16X,105
16E,105
170,E5
171,101
172,116
173,106
174,101
175,E7
176,100
177,106
178,100
179,110
17X,113
17E,107
180,E6
181,106
182,11X
183,10E
184,114
185,112
186,118
187,119
188,110
189,115
18X,109
18E,118
190,121
191,118
192,115
193,10E
194,117
195,11X
196,11X
197,119
198,126
199,128
19X,122
19E,11E
1X0,10E
1X1,120
1X2,11X
1X3,122
1X4,132
1X5,128
1X6,128
1X7,119
1X8,11X
1X9,111
1XX,124
1XE,122
1E0,112
1E1,134
1E2,125
1E3,112
1E4,13X
1E5,130
1E6,124
1E7,127
1E8,123
1E9,127
1EX,13X
1EE,13X
200,123
201,131
202,129
203,131
204,123
205,132
206,138
207,14X
208,148
209,139
20X,131
20E,132
210,129
211,13X
212,135
213,137
214,13X
215,12X
216,137
217,142
218,143
219,148
21X,153
21E,15E
220,14E
221,155
222,145
223,12X
224,145
225,141
226,150
227,145
228,154
229,169
22X,14X
22E,148
230,146
231,143
232,151
233,156
234,147
235,137
236,145
237,153
238,156
239,155
23X,159
23E,158
240,156
241,140
242,150
243,154
244,16E
245,160
246,16X
247,158
248,162
249,14E
24X,161
24E,157
250,15X
251,163
252,163
253,165
254,158
255,154
256,16E
257,160
258,163
259,167
25X,176
25E,16X
260,16X
261,167
262,16X
263,162
264,17E
265,167
266,186
267,182
268,180
269,172
26X,179
26E,178
270,189
271,184
272,177
273,16X
274,174
275,174
276,179
277,183
278,186
279,189
27X,180
27E,175
280,187
281,171
282,181
283,180
284,179
285,191
286,16X
287,186
288,18X
289,18E
28X,196
28E,178
290,191
291,186
292,191
293,197
294,1X0
295,193
296,1X3
297,18X
298,1X8
299,1X1
29X,192
29E,187
2X0,1X3
2X1,191
2X2,193
2X3,194
2X4,1X0
2X5,1XX
2X6,19E
2X7,199
2X8,198
2X9,1X2
2XX,1X2
2XE,1X1
2E0,1X7
2E1,1X0
2E2,199
2E3,19E
2E4,1X9
2E5,195
2E6,1E0
2E7,1X0
2E8,196
2E9,19X
2EX,195
2EE,1X4
300,1E1
301,1X9
302,196
303,1X5
304,1X8
305,1E5
306,19E
307,1E6
308,1E1
309,1E4
30X,1X0
30E,1E0
310,1E6
311,208
312,207
313,1E9
314,1E2
315,1XX
316,206
317,1E5
318,1EE
319,1E7
31X,210
31E,200
320,209
321,1E8
322,1E7
323,203
324,1E3
325,206
326,209
327,1EX
328,20E
329,216
32X,206
32E,214
330,209
331,208
332,209
333,203
334,201
335,1E9
336,214
337,215
338,219
339,214
