A generalized repunit {B,E} is an integer that can be represented in base B by a string of E 1s. It can simply be stated algebraically as (BE-1)/(B-1).

This page is a summary of the results of my search for primes of this form for bases under 1000.

I have searched 591,402 {B,E} pairs for B < 1000 and prime E and found 2,644 probable primes, of which I have completed proofs for 2,103.

In the following table, if an exponent is shown in italics, I have not yet completed a proof for that repunit. If it is in normal type, I have. If a hyperlink is shown, the repunit is a "Titanic Prime" at least 1000 decimal digits long and clicking on the link will take you to the certificate. Not all these proofs are original to me: the discoverer(s) is/are credited in the certificate.

Base	Search Limits	Primes Found	Prime for Exponent
Exponent	Prime	Digits	Proved	Probable	Total
92	10177	1250	19984	1	0	1	439
93	10177	1250	20032	1	1	2	7 4903
94	10177	1250	20079	3	2	5	5 13 37 1789 3581
95	10177	1250	20126	2	1	3	7 523 9283
96	10177	1250	20172	1	1	2	2 3343
97	10177	1250	20218	3	0	3	17 37 1693
98	10177	1250	20263	2	1	3	13 47 2801
99	10177	1250	20308	5	1	6	3 5 37 47 383 5563
100	2	1	3	1	0	1	2
101	3571	500	6911	3	1	4	3 337 677 1181
102	3571	500	6926	3	0	3	2 59 673
103	3571	500	6941	2	1	3	19 313 1549
104	3571	500	6955	2	0	2	97 263
105	3571	500	6970	3	1	4	3 19 389 2687
106	3571	500	6984	2	0	2	2 149
107	3571	500	6998	1	0	1	17
108	3571	500	7012	2	1	3	2 449 2477
109	3571	500	7026	1	1	2	17 1193
110	3571	500	7039	5	1	6	3 5 13 691 1721 3313
111	3571	500	7053	2	0	2	3 337
112	3571	500	7066	5	0	5	2 79 107 701 1697
113	3571	500	7080	2	0	2	23 37
114	3571	500	7093	6	0	6	29 43 73 89 569 709
115	3571	500	7106	2	3	5	7 241 1409 2341 2539
116	3571	500	7119	1	1	2	59 2503
117	3571	500	7132	4	0	4	3 5 19 31
118	3571	500	7144	3	0	3	5 163 193
119	3571	500	7157	3	1	4	3 19 827 2243
120	3571	500	7170	2	1	3	5 373 1693
121	0	0	0	0	0	0	-
122	3571	500	7194	3	0	3	5 7 67
123	3571	500	7206	2	1	3	43 563 1693
124	3571	500	7219	1	0	1	599
125	3	2	5	0	0	0	-
126	3571	500	7243	5	0	5	2 7 37 59 127
127	3571	500	7254	4	1	5	5 23 31 167 5281
128	7	4	13	1	0	1	7
129	3571	500	7278	3	0	3	5 17 109
130	3571	500	7289	2	0	2	2 37
131	3571	500	7301	3	0	3	3 31 263
132	3571	500	7312	2	1	3	47 71 3343
133	3571	500	7324	3	2	5	13 599 991 1181 3083
134	3571	500	7335	3	1	4	5 37 353 2843
