2,1XE
4E9,3
4EX,3
4EE,7
500,0
501,0
502,4
503,10
504,2
505,4
506,0
507,9
508,8
509,8
50X,9
50E,7
510,0
511,8
512,5
513,6
514,3
515,7
516,1
517,11
518,X
519,20
51X,14
51E,E
520,0
521,11
522,9
523,9
524,17
525,5
526,1
527,X
528,6
529,8
52X,9
52E,2
530,0
531,7
532,E
533,4
534,2
535,4
536,1
537,8
538,9
539,10
53X,9
53E,X
540,0
541,11
542,6
543,15
544,2
545,6
546,1
547,1
548,7
549,4
54X,5
54E,7
550,0
551,3
552,6
553,6
554,4
555,14
556,1
557,5
558,15
559,11
55X,7
55E,19
560,0
561,7
562,12
563,7
564,9
565,11
566,1
567,3
568,21
569,6
56X,X
56E,9
570,0
571,18
572,X
573,15
574,3
575,7
576,1
577,3
578,5
579,3
57X,8
57E,17
580,0
581,7
582,E
583,14
584,6
585,14
586,1
587,7
588,6
589,10
58X,8
58E,2
590,0
591,12
592,5
593,8
594,X
595,11
596,1
597,E
598,X
599,4
59X,18
59E,7
5X0,0
5X1,E
5X2,21
5X3,14
5X4,9
5X5,13
5X6,1
5X7,11
5X8,X
5X9,8
5XX,2
5XE,4
5E0,0
5E1,11
5E2,6
5E3,6
5E4,1
5E5,E
5E6,1
5E7,X
5E8,16
5E9,13
5EX,1
5EE,1
600,0
601,0
602,0
603,7
604,7
605,9
606,0
607,4
608,7
609,4
60X,6
60E,9
610,0
611,12
612,22
613,10
614,9
615,5
616,1
617,3
618,3
619,3
61X,7
61E,4
620,0
621,8
622,9
623,1
624,8
625,5
626,1
627,X
628,X
629,7
62X,9
62E,X
630,0
631,7
632,X
633,2
634,4
635,9
636,1
637,18
638,11
639,5
63X,5
63E,4
640,0
641,X
642,13
643,5
644,15
645,6
646,1
647,9
648,4
649,4
64X,6
64E,4
650,0
651,7
652,9
653,8
654,6
655,27
656,1
657,12
658,6
659,5
65X,12
65E,3
660,0
661,1
662,5
663,E
664,6
665,8
666,1
667,12
668,7
669,1
66X,7
66E,X
670,0
671,9
672,6
673,5
674,X
675,7
676,1
677,17
678,1
679,8
67X,7
67E,9
680,0
681,7
682,1E
683,14
684,4
685,8
686,1
687,13
688,5
689,2
68X,3
68E,7
690,0
691,3
692,1
693,7
694,2
695,E
696,1
697,9
698,5
699,5
69X,3
69E,5
6X0,0
6X1,4
6X2,6
6X3,8
6X4,10
6X5,7
6X6,1
6X7,9
6X8,10
6X9,X
6XX,8
6XE,12
6E0,0
6E1,11
6E2,1
6E3,8
6E4,6
6E5,8
6E6,1
6E7,5
6E8,4
6E9,13
6EX,3
6EE,5
700,0
701,0
702,7
703,0
704,6
705,E
706,0
707,3
708,9
709,2
70X,9
70E,7
710,0
711,6
712,6
713,4
714,10
715,E
716,1
717,5
718,5
719,13
71X,9
71E,9
720,0
721,11
722,6
723,E
724,2
725,14
726,1
727,9
728,9
729,8
72X,7
72E,7
730,0
731,X
732,1
733,5
734,12
735,5
736,1
737,9
738,7
739,8
73X,19
73E,E
740,0
741,2
742,2
743,7
744,E
745,12
746,1
747,E
748,24
749,8
74X,15
74E,3
750,0
751,3
752,E
753,13
754,4
755,E
756,1
757,4
758,E
759,7
75X,8
75E,11
760,0
761,5
762,1
763,E
764,8
765,21
766,1
767,E
768,11
769,E
76X,12
76E,8
770,0
771,14
772,8
773,2
774,7
775,7
776,1
777,2
778,3
779,7
77X,11
77E,5
780,0
781,5
782,X
783,3
784,15
785,2
786,1
787,9
788,7
789,2
78X,10
78E,16
790,0
791,7
792,17
793,E
794,9
795,9
796,1
797,6
798,17
799,4
79X,16
79E,E
7X0,0
7X1,7
7X2,9
7X3,14
7X4,24
7X5,16
7X6,1
7X7,3
7X8,12
7X9,4
7XX,E
7XE,6
7E0,0
7E1,12
7E2,7
7E3,E
7E4,8
7E5,4
7E6,1
7E7,9
7E8,9
7E9,1
7EX,11
7EE,1
800,0
801,0
802,4
803,7
804,5
805,X
806,0
807,12
808,5
809,10
80X,11
80E,5
810,0
811,X
812,X
813,7
814,12
815,11
816,1
817,2
818,19
819,4
81X,4
81E,7
820,0
821,7
822,8
823,7
824,4
825,X
826,1
827,5
828,7
829,4
82X,12
82E,3
830,0
831,E
832,1
833,7
834,X
835,E
836,1
837,4
838,X
839,E
83X,12
83E,4
840,0
841,4
842,5
843,1
844,9
845,1
846,1
847,E
848,8
849,2
84X,4
84E,11
850,0
851,8
852,6
853,10
854,3
855,X
856,1
857,6
858,3
859,15
85X,5
85E,5
860,0
861,3
862,1
863,9
864,6
865,16
866,1
867,12
868,6
869,E
86X,6
86E,E
870,0
871,4
872,X
873,5
874,2X
875,7
876,1
877,9
878,5
879,10
87X,8
87E,15
880,0
881,15
882,7
883,1
884,6
885,X
886,1
887,8
888,5
889,14
88X,E
88E,3
890,0
891,9
892,12
893,4
894,X
895,5
896,1
897,X
898,7
899,4
89X,3
89E,3
8X0,0
8X1,12
8X2,11
8X3,5
8X4,5
8X5,5
8X6,1
8X7,7
8X8,10
8X9,E
8XX,9
8XE,5
8E0,0
8E1,X
8E2,8
8E3,8
8E4,7
8E5,12
8E6,1
8E7,X
8E8,1
8E9,7
8EX,1
8EE,1
900,0
901,0
902,0
903,0
904,14
905,7
906,0
907,E
908,0
909,8
90X,8
90E,7
910,0
911,9
912,8
913,10
914,1
915,1
916,1
917,7
918,1E
919,8
91X,16
91E,7
920,0
921,14
922,6
923,E
924,10
925,6
926,1
927,5
928,8
929,8
92X,14
92E,7
930,0
931,13
932,7
933,9
934,7
935,11
936,1
937,X
938,8
939,15
93X,5
93E,12
940,0
941,8
942,14
943,8
944,10
945,7
946,1
947,9
948,5
949,4
94X,8
94E,3
950,0
951,3
952,9
953,9
954,16
955,9
956,1
957,4
958,X
959,18
95X,8
95E,5
960,0
961,E
962,5
963,11
964,8
965,8
966,1
967,8
968,X
969,5
96X,20
96E,9
970,0
971,5
972,6
973,7
974,X
975,3
976,1
977,7
978,4
979,10
97X,7
97E,9
980,0
981,11
982,6
983,5
984,11
985,8
986,1
987,3
988,X
989,2
98X,5
98E,5
990,0
991,3
992,E
993,6
994,8
995,8
996,1
997,15
998,9
999,4
99X,9
99E,14
9X0,0
9X1,7
9X2,5
9X3,4
9X4,12
9X5,13
9X6,1
9X7,5
9X8,5
9X9,2
9XX,8
9XE,5
9E0,0
9E1,8
9E2,9
9E3,1
9E4,X
9E5,3
9E6,1
9E7,5
9E8,16
9E9,8
9EX,5
9EE,1
X00,0
X01,0
X02,5
X03,9
X04,8
X05,2
X06,0
X07,5
X08,E
X09,4
X0X,6
X0E,8
X10,0
X11,3
X12,X
X13,7
X14,5
X15,1
X16,1
X17,3
X18,4
X19,1
X1X,9
X1E,5
X20,0
X21,4
X22,X
X23,4
X24,3
X25,7
X26,1
X27,4
X28,4
X29,7
X2X,7
X2E,3
X30,0
X31,E
X32,1
X33,16
X34,6
X35,5
X36,1
X37,8
X38,5
X39,3
X3X,6
X3E,11
X40,0
X41,1
X42,1X
X43,1
X44,9
X45,3
X46,1
X47,1
X48,3
X49,4
X4X,3
X4E,1
X50,0
X51,14
X52,7
X53,7
X54,10
X55,E
X56,1
X57,E
X58,6
X59,4
X5X,9
X5E,5
X60,0
X61,13
X62,X
X63,1
X64,5
X65,4
X66,1
X67,13
X68,1
X69,10
X6X,6
X6E,E
X70,0
X71,3
X72,X
X73,5
X74,5
X75,9
X76,1
X77,5
X78,8
X79,3
X7X,7
X7E,8
X80,0
X81,X
X82,E
X83,1
X84,7
X85,E
X86,1
X87,8
X88,E
X89,10
X8X,8
X8E,E
X90,0
X91,3
X92,12
X93,10
X94,11
X95,3
X96,1
X97,6
X98,5
X99,4
X9X,10
X9E,3
XX0,0
XX1,5
XX2,11
XX3,E
XX4,X
XX5,7
XX6,1
XX7,3
XX8,4
XX9,7
XXX,7
XXE,6
XE0,0
XE1,15
XE2,6
XE3,2
XE4,6
XE5,5
XE6,1
XE7,7
XE8,1
XE9,7
XEX,4
XEE,5
E00,0
E01,0
E02,5
E03,0
E04,5
E05,4
E06,0
E07,3
E08,3
E09,2
E0X,6
E0E,4
E10,0
E11,6
E12,7
E13,5
E14,2E
E15,11
E16,1
E17,X
E18,5
E19,5
E1X,E
E1E,3
E20,0
E21,13
E22,E
E23,1
E24,X
E25,6
E26,1
E27,5
E28,3
E29,13
E2X,5
E2E,6
E30,0
E31,6
E32,1
E33,6
E34,2
E35,4
E36,1
E37,E
E38,5
E39,8
E3X,10
E3E,5
E40,0
E41,4
E42,20
E43,9
E44,8
E45,3
E46,1
E47,E
E48,4
E49,6
E4X,E
E4E,1X
E50,0
E51,6
E52,7
E53,12
E54,12
E55,2
E56,1
E57,9
E58,11
E59,7
E5X,8
E5E,11
E60,0
E61,5
E62,7
E63,8
E64,5
E65,9
E66,1
E67,9
E68,5
E69,6
E6X,10
E6E,4
E70,0
E71,7
E72,13
E73,8
E74,12
E75,5
E76,1
E77,5
E78,3
E79,9
E7X,3
E7E,4
E80,0
E81,4
E82,X
E83,14
E84,6
E85,4
E86,1
E87,13
E88,7
E89,8
E8X,X
E8E,3
E90,0
E91,9
E92,14
E93,7
E94,X
E95,12
E96,1
E97,7
E98,8
E99,3
E9X,8
E9E,X
EX0,0
EX1,E
EX2,6
EX3,4
EX4,15
EX5,2
EX6,1
EX7,1
EX8,5
EX9,5
EXX,4
EXE,13
EE0,0
EE1,5
EE2,10
EE3,3
EE4,7
EE5,17
EE6,1
EE7,16
EE8,5
EE9,1
EEX,11
EEE,1
1000,0
