2,EE8
472,5
473,8X
474,18
475,7X
476,3E
477,51
478,X
479,7
47X,21
47E,24
480,1EX
481,2
482,5
483,15X
484,5E
485,2
486,13
487,15
488,8X
489,7
48X,48
48E,2
490,7X
491,10
492,7E
493,7
494,34
495,28
496,66
497,2
498,9
499,124
49X,4
49E,10
4X0,51
4X1,37
4X2,4
4X3,7
4X4,15X
4X5,2
4X6,EX
4X7,3E
4X8,124
4X9,30
4XX,4
4XE,15
4E0,25
4E1,2
4E2,20
4E3,19
4E4,17
4E5,48
4E6,8X
4E7,EX
4E8,9
4E9,7
4EX,4
4EE,2
500,2E9
501,14
502,3E
503,7
504,9
505,51
506,72
507,2
508,EX
509,EE
50X,1E
50E,34
510,24
511,2
512,4
513,EE
514,66
515,21
516,37
517,2
518,3E
519,7X
51X,28
51E,2
520,48
521,E
522,4
523,18
524,8X
525,14
526,EE
527,2
528,30
529,6
52X,51
52E,E
530,1EX
531,2
532,4
533,66
534,7X
535,2
536,11
537,13
538,9
539,8X
53X,4
53E,25
540,15E
541,2
542,124
543,6
544,8
545,2
546,34
547,48
548,15
549,3E
54X,4
54E,37
550,EX
551,20
552,66
553,51
554,EE
555,E
556,11
557,2
558,8
559,6
55X,19
55E,13
560,124
561,24
562,4
563,28
564,8
565,2
566,7X
567,30
568,15X
569,17
56X,4
56E,1E
570,21
571,66
572,48
573,6
574,15
575,2
576,15E
577,2
578,51
579,6
57X,3E
57E,X
580,8X
581,34
582,4
583,EX
584,37
585,2
586,10
587,2
588,14
589,124
58X,25
58E,2
590,66
591,2
592,18
593,6
594,EX
595,8X
596,10
597,X
598,7X
599,48
59X,4
59E,2
5X0,1EX
5X1,26
5X2,4
5X3,6
5X4,8
5X5,5E
5X6,30
5X7,72
5X8,28
5X9,6
5XX,8X
5XE,3E
5E0,20
5E1,2
5E2,24
5E3,7X
5E4,14
5E5,2
5E6,EX
5E7,2
5E8,34
5E9,37
5EX,4
5EE,2
600,1EE
601,9
602,3
603,45
604,48
605,19
606,51
607,21
608,13
609,15
60X,66
60E,EE
610,1E
611,1
612,3
613,5
614,124
615,1
616,EE
617,1
618,8X
619,25
61X,3
61E,1
620,3E
621,11
622,17
623,124
624,7
625,30
626,E
627,9
628,186
629,66
62X,3
62E,48
630,15X
631,28
632,37
633,34
634,13
635,9
636,E
637,1
638,7
639,15
63X,EX
63E,1
640,7X
641,18
642,3
643,24
644,7
645,11
646,8X
647,1
648,66
649,5
64X,3
64E,20
650,124
651,3E
652,3
653,14
654,51
655,1
656,48
657,7X
658,7
659,5
65X,3
65E,8X
660,EX
661,1
662,21
663,5
664,30
665,1
666,E
667,37
668,25
669,1EX
66X,34
66E,1
670,19
671,1E
672,7X
673,5
674,8X
675,1
676,28
677,9
678,7
679,51
67X,3
67E,10
680,1EE
681,24
682,3E
683,14
684,7
685,8
686,66
687,1
688,72
689,7X
68X,15
68E,1
690,124
691,10
692,3
693,EX
694,24
695,1
696,X
697,17
698,EE
699,13
69X,3
69E,1
6X0,37
6X1,8
6X2,51
6X3,30
6X4,7X
6X5,34
6X6,124
6X7,1
6X8,48
6X9,5
6XX,20
6XE,8
6E0,18
6E1,1
6E2,3
6E3,3E
6E4,EE
6E5,EX
6E6,X
6E7,25
6E8,6
6E9,21
6EX,3
6EE,28
700,1EX
701,1
702,15
703,5
704,66
705,1
706,5E
707,51
708,11
709,13
70X,3
70E,1
710,8X
711,1
712,1E
713,48
714,124
715,37
716,7X
717,19
718,6
719,7E
71X,14
71E,1
720,34
721,1
722,30
723,66
724,3E
725,24
726,9
727,1
728,EX
729,4
72X,3
72E,E
730,51
731,7X
732,3
733,4
734,11
735,1
736,15X
737,1
738,6
739,EX
73X,48
73E,8
740,124
741,E
742,33
743,4
744,28
745,1
746,25
747,1
748,7X
749,20
74X,37
74E,15
750,17
751,1
752,14
753,8X
754,21
755,3E
756,9
757,34
758,6
759,4
75X,EE
75E,18
760,1EE
761,30
762,3
763,3E
764,6
765,48
766,9
767,1
768,8X
769,72
76X,13
76E,1
770,EX
771,1
772,3
773,1E
774,10
775,1
776,24
777,E
778,124
779,4
77X,51
77E,1
780,66
781,8X
782,19
783,37
784,6
785,1
786,3E
787,15
788,10
789,28
78X,3
78E,7
790,48
791,1
792,34
793,4
794,1EX
795,25
796,8X
797,1
798,6
799,EE
79X,3
79E,66
7X0,30
7X1,1
7X2,13
7X3,51
7X4,6
7X5,14
7X6,15E
7X7,7
7X8,20
7X9,4
7XX,3
7XE,21
7E0,7X
7E1,X
7E2,3
7E3,11
7E4,EX
7E5,7
7E6,9
7E7,3E
7E8,37
7E9,4
7EX,66
7EE,1
800,186
801,1
802,2
803,124
804,45
805,17
806,8
807,24
808,51
809,34
80X,18
80E,1
810,15
811,7
812,28
813,4
814,1E
815,X
816,EX
817,1
818,5
819,66
81X,2
81E,30
820,EE
821,14
822,48
823,11
824,25
825,1
826,8
827,5E
828,3E
829,19
82X,2
82E,1
830,124
831,37
832,8X
833,4
834,E
835,1
836,8
837,7
838,66
839,7X
83X,2
83E,13
840,15X
841,1
842,2
843,4
844,34
845,7
846,21
847,20
848,E
849,48
84X,72
84E,9
850,15
851,1
852,2
853,124
854,7X
855,1
856,51
857,28
858,24
859,3E
85X,30
85E,1
860,8X
861,EE
862,2
863,4
864,5
865,1
866,37
867,1
868,124
869,10
86X,2
86E,7X
870,14
871,1
872,2
873,25
874,48
875,1E
876,66
877,13
878,5
879,18
87X,17
87E,34
880,EX
881,1
882,8E
883,10
884,5
885,9
886,7X
887,6
888,E
889,4
88X,3E
88E,1
890,1EX
891,15
892,2
893,4
894,19
895,66
896,8
897,9
898,5
899,30
89X,11
89E,37
8X0,28
8X1,21
8X2,EX
8X3,8X
8X4,51
8X5,1
8X6,20
8X7,1
8X8,15E
8X9,24
8XX,2
8XE,1
8E0,14
8E1,6
8E2,2
8E3,EX
8E4,66
8E5,1
8E6,34
8E7,1
8E8,7X
8E9,4
8EX,2
8EE,3E
900,15E
901,1
902,25
903,3
904,EX
905,1
906,48
907,1
908,X
909,51
90X,2
90E,1
910,13
911,8X
912,11
913,66
914,37
915,15
916,1E
917,6
918,30
919,3
91X,2
91E,1
920,124
921,1
922,2
923,EE
924,5
925,28
926,8X
927,1
928,18
929,3
92X,7X
92E,49
930,3E
931,34
932,51
933,17
934,X
935,9
936,7
937,14
938,21
939,E
93X,24
93E,19
940,1EX
941,6
942,2
943,3
944,5
945,20
946,15X
947,8
948,5E
949,37
94X,2
94E,6
950,13
951,25
952,15
953,E
954,8X
955,1
956,7
957,30
958,48
959,EX
95X,2
95E,1
960,7X
961,1E
962,10
963,3
964,7E
965,1
966,7
967,EE
968,34
969,8X
96X,28
96E,8
970,66
971,1
972,2
973,3
974,9
975,6
976,124
977,1E
978,4
979,3
97X,10
97E,14
980,51
981,8
982,37
983,48
984,4
985,11
986,7
987,1
988,15X
989,3
98X,2
98E,24
990,EX
991,6
992,3E
993,21
994,124
995,1
996,30
997,18
998,4
999,E
99X,15
99E,6
9X0,25
9X1,13
9X2,2
9X3,34
9X4,20
9X5,51
9X6,19
9X7,1
9X8,17
9X9,7X
9XX,48
9XE,1
9E0,8X
9E1,1
9E2,EX
9E3,28
9E4,9
9E5,1
9E6,7
9E7,37
9E8,4
9E9,3
9EX,2
9EE,1
X00,248
X01,11
X02,14
X03,3E
X04,3E
X05,45
X06,7
X07,1
X08,9
X09,66
X0X,51
X0E,1
X10,72
X11,1
X12,2
X13,15
X14,EX
X15,30
X16,EE
X17,1
X18,1E
X19,3
X1X,34
X1E,7X
X20,24
X21,5
X22,2
X23,X
X24,4
X25,13
X26,EE
X27,1
X28,66
X29,3
X2X,21
X2E,25
X30,37
X31,8
X32,2
X33,51
X34,3E
X35,1
X36,7X
X37,1
X38,28
X39,124
X3X,2
X3E,1
X40,48
X41,1
X42,E
X43,20
X44,4
X45,1
X46,18
X47,66
X48,8X
X49,3
X4X,14
X4E,1
X50,EE
X51,19
X52,2
X53,X
X54,30
X55,34
X56,6
X57,10
X58,51
X59,3
X5X,E
X5E,1
X60,1EX
X61,17
X62,2
X63,15
X64,4
X65,37
X66,66
X67,48
X68,7X
X69,5E
X6X,2
X6E,1
X70,11
X71,24
X72,13
X73,3
X74,9
X75,10
X76,8X
X77,1
X78,4
X79,1E
X7X,25
X7E,5
X80,13E
X81,28
X82,2
X83,7X
X84,124
X85,21
X86,6
X87,1
X88,8
X89,14
X8X,2
X8E,8X
X90,34
X91,1
X92,48
X93,30
X94,15
X95,1
X96,3E
X97,5
X98,4
X99,9
X9X,37
X9E,1
XX0,EX
XX1,7
XX2,20
XX3,3
XX4,66
XX5,5
XX6,51
XX7,1
XX8,EE
XX9,3
XXX,E
XXE,1
XE0,11
XE1,72
XE2,2
XE3,15X
XE4,8
XE5,18
XE6,6
XE7,1
XE8,19
XE9,48
XEX,13
XEE,1
E00,124
E01,5
E02,24
E03,33
E04,4
E05,7
E06,28
E07,34
E08,8
E09,25
E0X,2
E0E,51
E10,7X
E11,1
E12,30
E13,37
E14,15X
E15,1
E16,17
E17,7
E18,4
E19,14
E1X,1E
E1E,1
E20,21
E21,1
E22,66
E23,9
E24,48
E25,1
E26,6
E27,7X
E28,15
E29,EE
E2X,2
E2E,1
E30,15E
E31,1
E32,2
E33,3
E34,51
E35,EX
E36,6
E37,1
E38,3E
E39,9
E3X,X
E3E,7
E40,8X
E41,20
E42,34
E43,13
E44,4
E45,1
E46,EX
E47,E
E48,37
E49,3
E4X,2
E4E,28
E50,10
E51,30
E52,2
E53,24
E54,14
E55,15
E56,124
E57,11
E58,25
E59,51
E5X,2
E5E,5
E60,66
E61,1
E62,2
E63,19
E64,18
E65,E
E66,6
E67,1
E68,EX
E69,3E
E6X,8X
E6E,1
E70,10
E71,1
E72,X
E73,3
E74,7X
E75,7
E76,48
E77,21
E78,4
E79,34
E7X,2
E7E,1E
E80,1EX
E81,19
E82,26
E83,8X
E84,4
E85,5
E86,6
E87,7
E88,8
E89,3
E8X,5E
E8E,17
E90,30
E91,1
E92,72
E93,13
E94,28
E95,1
E96,6
E97,1
E98,8X
E99,124
E9X,3E
E9E,11
EX0,20
EX1,48
EX2,2
EX3,3
EX4,24
EX5,1
EX6,7X
EX7,25
EX8,14
EX9,3
EXX,2
EXE,7E
EE0,EX
EE1,15
EE2,2
EE3,9
EE4,34
EE5,1
EE6,37
EE7,1
EE8,4
EE9,66
EEX,2
EEE,E
1000,1EE
