1,E
X3,E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
X4,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
X5,10000000000000000000000001000000000000000000000000100000000000000000000000010000000000000000000000001
X6,1000EEEEEXEEE000000EEEEEXEEE000001001
X7,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
X8,10000000000000000000000000000000000000000000000000000000000000001
X9,E00E00E00E00E00E00E00E00E00E00E00E00E00E00EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
XX,10EEEXE00010EXXXE01110EXXE01110EXXXE010EEEXE00011
XE,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
E0,100EEEXEE000100EEEXEXEE000100EEEXEE000101
E1,E000000E000000E0000E0E0000E0E0000E0E00E0E0E00E0E0E00E0E0EE0E0E0EE0E0E0EE0E0EEEE0E0EEEE0E0EEEE0EEEEEE0EEEEEE1
E2,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
E3,EEEEEEEEE000000000000000000EEEEEEEEE000000000EEEEEEEEEEEEEEEEEE000000001
E4,EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0001
E5,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
E6,10EXE010EXE010EXE010EXXE010EXE010EXE010EXE011
E7,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
E8,100EEEEEEEXEXEXEE000101010100EEEXEXEXEE0000000101
E9,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
EX,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
EE,E0000000000E0E00000000E0E0E000000E0E0E0E0000E0E0E0E0E00E0E0E0E0E0EE0E0E0E0E0EEEE0E0E0E0EEEEEE0E0E0EEEEEEEE0E0EEEEEEEEEE1
100,EEEEEEEEEEEEEEEEEEEEEEEE000000000000000000000001
101,E0000E0000E0000E0000E0000E000EE000EE000EE000EE000EE000EE00EEE00EEE00EEE00EEE00EEE00EEE0EEEE0EEEE0EEEE0EEEE0EEEE1
102,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
