1,
2,
3,
4,
5,1
6,
7,1
8,
9,
X,6
E,1
10,
11,1
12,8
13,6
14,
15,1
16,
17,1
18,14
19,13
1X,10
1E,10
20,
21,14
22,12
23,
24,8
25,1
26,6
27,2
28,
29,10
2X,16
2E,1
30,
31,1
32,18
33,23
34,14
35,31
36,30
37,35
38,10
39,30
3X,10
3E,20
40,
41,25
42,14
43,16
44,34
45,36
46,
47,1
48,8
49,33
4X,26
4E,10
50,30
51,2X
52,2
53,30
54,
55,1
56,10
57,21
58,44
59,10
5X,30
5E,10
60,
61,1
62,32
63,56
64,18
65,1
66,56
67,57
68,14
69,
6X,66
6E,4
70,30
71,1
72,70
73,26
74,48
75,1
76,30
77,1
78,10
79,29
7X,20
7E,1
80,
81,1
82,66
83,39
84,14
85,31
86,16
87,56
88,34
89,30
8X,36
8E,83
90,
91,1
92,48
93,63
94,54
95,24
96,80
97,69
98,74
99,23
9X,10
9E,1
X0,80
X1,10
X2,2X
X3,66
X4,54
X5,77
X6,30
X7,54
X8,
X9,70
XX,56
XE,10
E0,10
E1,1
E2,78
E3,69
E4,X0
E5,48
E6,10
E7,49
E8,30
E9,20
EX,10
EE,1
100,
101,1
102,62
103,66
104,94
105,69
106,56
107,104
108,80
109,16
10X,66
10E,X6
110,100
111,1
112,102
113,36
114,80
115,X7
116,
117,1
118,114
119,93
11X,4
11E,42
120,X0
121,111
122,72
123,109
124,70
125,E3
126,26
127,E9
128,100
129,10
12X,76
12E,10
130,30
131,X5
132,78
133,110
134,88
135,1
136,X6
137,1
138,20
139,116
13X,80
13E,10
140,
141,1
142,82
143,56
144,128
145,24
146,100
147,X1
148,14
149,113
14X,E6
14E,1
150,X0
151,149
152,56
153,69
154,100
155,1
156,30
157,147
158,104
159,10
15X,152
15E,35
160,
161,54
162,92
163,103
164,48
165,1
166,136
167,2X
168,54
169,160
16X,24
16E,9
170,80
171,15
172,144
173,66
174,74
175,1
176,100
177,5E
178,10
179,169
17X,X0
17E,10
180,80
181,82
182,10
183,
184,110
185,128
186,66
187,1
188,54
189,73
18X,160
18E,139
190,30
191,10
192,54
193,123
194,
195,1
196,70
197,1
198,144
199,99
19X,10
19E,131
1X0,100
1X1,149
1X2,E2
1X3,76
1X4,78
1X5,73
1X6,160
1X7,1
1X8,194
1X9,133
1XX,48
1XE,11X
1E0,10
1E1,178
1E2,144
1E3,X6
1E4,128
1E5,X3
1E6,20
1E7,18X
1E8,10
1E9,80
1EX,100
1EE,66
200,
201,194
202,102
203,143
204,164
205,13E
206,66
207,5E
208,94
209,183
20X,172
20E,144
210,160
211,X7
212,104
213,E6
214,80
215,110
216,16
217,160
218,174
219,56
21X,X6
21E,94
220,100
221,189
222,112
223,30
224,214
225,119
226,36
227,1
228,194
229,83
22X,200
22E,1
230,
231,56
232,118
233,163
234,114
235,5E
236,1E0
237,227
238,4
239,209
23X,42
23E,16X
240,200
241,207
242,232
243,E9
244,194
245,138
246,230
247,128
248,194
249,69
24X,218
24E,32
250,150
251,1X5
252,224
253,23
254,228
255,E8
256,10
257,208
258,1X4
259,X0
25X,10
25E,1X2
260,160
261,1X3
262,216
263,10
264,78
265,1
266,110
267,264
268,200
269,230
26X,136
26E,104
270,220
271,93
272,138
273,160
274,20
275,1
276,116
277,143
278,80
279,226
27X,10
27E,144
280,
281,1
282,142
283,246
284,204
285,128
286,56
287,2E
288,128
289,10
28X,24
28E,102
290,100
291,194
292,228
293,1X3
294,14
295,194
296,260
297,111
298,244
299,69
29X,150
29E,1
2X0,X0
2X1,106
2X2,29X
2X3,236
2X4,1X8
