46: [8,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44]
47: [5,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,16]
48: [9,16,31,16,31,16,31,16,31,16,31,16,31,16,31,16,31,16,31,16,31,16,31,4]
49: [3,9,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1E]
4X: [2,4,8,14,29,8,14,29,8,14,29,8,14,29,8,14,29,8,14,29,8,14,29,5]
4E: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
50: [12,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,4E,39]
51: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
52: [2,4,8,14,29,4,8,14,29,4,8,14,29,4,8,14,29,4,8,14,29,4,8,13]
53: [X,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,17]
54: [X,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]
55: [5,23,5,23,5,23,5,23,5,23,5,23,5,23,5,23,5,23,5,23,5,23,5,19]
56: [6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,26]
57: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
58: [4,14,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,53]
59: [3,9,24,13,3E,3,9,24,13,3E,3,9,24,13,3E,3,9,24,13,3E,3,9,24,E]
5X: [E,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,3X,28]
5E: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
60: [15,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,5E,51]
61: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
