274,463E,213
275,4E05,153
276,1521,151
277,7045,19
278,12X7,183
279,35X5,222
27X,2935,155
27E,6591,76
280,1615,215
281,2717,188
282,21X7,191
283,5391,1E4
284,3791,79
285,6885,244
286,X5E,245
287,5375,120
288,2X81,201
289,366E,178
28X,332E,E3
28E,7441,69
290,15EE,15E
291,86E1,E0
292,2625,269
293,3815,268
294,1981,229
295,83E1,256
296,1697,207
297,619E,109
298,27X7,103
299,3331,284
29X,2097,22E
29E,55E5,E4
2X0,2087,207
2X1,11E4E,281
2X2,2087,1E3
2X3,4897,26X
2X4,292E,193
2X5,569E,X4
2X6,1201,261
2X7,6885,1
2X8,2115,201
2X9,3X25,292
2XX,1XE1,273
2XE,710E,84
2E0,841,261
2E1,89X1,71
2E2,329E,89
2E3,3XE7,2XX
2E4,3807,29E
2E5,5317,11X
2E6,1681,E1
2E7,5961,138
2E8,34EE,243
2E9,4341,84
2EX,2685,X1
2EE,938E,100
300,1547,247
301,8407,9X
302,2165,151
303,3605,292
304,2675,41
305,604E,274
306,2955,305
307,7965,20E
308,18X1,261
309,4441,34
30X,3011,23E
30E,7X35,1EE
310,1955,2E5
311,5931,133
312,2935,239
313,6607,54
314,2275,189
315,X997,1E6
316,12X5,245
317,7817,138
318,4031,121
319,447E,23E
31X,3985,169
31E,579E,158
320,205E,23E
321,7E27,1
322,47E7,1X9
323,492E,308
324,307E,163
325,19757,1X
326,EX5,22E
327,12201,299
328,4645,299
329,3277,314
32X,35E7,317
32E,84EE,56
330,133E,23E
331,7E27,92
332,31X1,1E3
333,6197,1X1
334,4681,229
335,6X47,32
336,211E,215
337,1048E,38
338,320E,187
339,5537,244
33X,57X1,155
33E,997E,12X
340,1E41,1
341,9X41,152
342,322E,151
343,440E,192
344,3851,89
345,7287,262
346,2631,331
347,766E,279
348,379E,31E
349,4681,41
34X,184E,349
34E,1016E,245
350,1EX1,341
351,6115,128
352,3361,193
353,3X7E,1E8
354,3451,265
355,E337,84
356,1E0E,23E
357,9X17,39
358,3491,269
359,7921,287
35X,4071,333
35E,X535,304
360,1445,245
361,6X17,158
362,3361,X3
363,5927,23X
364,4725,235
365,8X47,41
366,120E,355
367,7617,150
368,4541,1
369,7955,9E
36X,367E,349
36E,7705,176
370,2367,257
371,8E37,322
372,405E,189
373,5405,292
374,2717,22E
375,11911,234
376,2115,345
377,125X5,320
378,4461,169
379,367E,268
37X,4X0E,335
37E,E52E,1X0
380,1521,261
381,8195,233
382,3627,189
383,4435,7E
384,3427,333
385,XE3E,194
386,2161,331
387,6921,31X
388,420E,183
389,5057,97
38X,4681,245
38E,X4X1,13X
390,1655,355
391,1XX47,16
392,444E,359
393,5E67,381
394,42XE,197
395,7507,200
396,286E,22E
397,1112E,160
398,6795,381
399,6911,104
39X,2747,9E
39E,9601,306
3X0,265E,37E
3X1,E4E1,262
3X2,4761,179
3X3,39X7,35X
3X4,43EE,197
3X5,1000E,E6
3X6,2E61,77
3X7,923E,177
3X8,2897,183
3X9,656E,368
3XX,490E,253
3XE,12445,41
3E0,2595,245
3E1,71E7,36X
3E2,7661,13
3E3,57E7,104
3E4,4321,3X1
3E5,10297,72
3E6,1351,367
3E7,10781,EE
3E8,377E,3E3
3E9,8595,238
3EX,329E,2E5
3EE,9077,9X
400,2787,387
401,10611,1X0
402,3771,355
403,10847,374
404,3EXE,373
405,10061,336
406,27X7,371
407,E945,387
408,6171,71
409,4401,331
40X,50EE,403
40E,10747,68
410,2061,1
411,997E,317
412,405E,351
413,8417,177
414,4821,289
415,12421,340
416,322E,115
417,7E65,60
418,366E,123
419,7045,155
41X,447E,29E
41E,E891,35X
420,1XE1,211
421,144X5,86
422,6027,119
423,7287,2E7
424,5201,335
425,7101,E9
426,222E,EE
427,17551,170
428,5551,211
429,555E,208
42X,3627,411
42E,E481,X9
430,3491,261
431,11537,396
432,5X1E,1E3
433,5785,378
434,3X57,383
435,161E7,389
436,4X31,257
437,E85E,2E3
438,2E57,103
439,7797,12X
43X,633E,1X9
43E,93EE,3X0
440,2185,405
441,E73E,53
442,6X11,3X1
443,5701,184
444,47E1,371
445,X157,364
446,1971,411
447,19721,78
448,4471,439
449,711E,178
44X,7011,53
44E,9X47,389
450,404E,42E
451,12X2E,137
452,3747,361
453,XE2E,268
454,413E,53
455,11381,3X6
456,2E17,3E1
457,1281E,202
458,4507,3X3
459,558E,305
45X,4911,331
45E,11E4E,120
460,3807,367
461,X605,442
462,3845,38E
463,75E5,408
464,455E,383
465,12811,393
466,2E61,387
467,12825,343
468,6001,381
469,11755,392
46X,3705,1XE
46E,10X87,384
470,1X01,381
471,1469E,154
472,6077,381
473,8E17,12X
